"","short_name","Position","TransferPrice","X","player_id","long_name","overall","club_name","pace","shooting","passing","dribbling","defending","physic","value_eur","player_positions"
"41","M. Nunes","Midfielder",62,107,253124,"Matheus Luiz Nunes",79,"Manchester City",83,71,74,81,73,77,26500000,"CM, LM"
"42","J. Doku","Attacker",60,168,246420,"Jérémy Doku",77,"Manchester City",91,67,68,82,25,65,23500000,"RM, RW"
"43","M. Kovacic","Midfielder",29.1,60,207410,"Mateo Kovačić",82,"Manchester City",69,69,82,87,71,70,29500000,"CM, CDM"
"44","R. Hojlund","Attacker",73.9,203,259399,"Rasmus Winther Højlund",76,"Manchester United",85,75,55,74,29,78,1.8e+07,"ST"
"45","M. Mount","Midfielder",64.2,67,233064,"Mason Mount",81,"Manchester United",72,79,82,80,56,67,3.5e+07,"CAM, RW, CM"
"46","S. Tonali","Midfielder",64,13,241096,"Sandro Tonali",86,"Newcastle United",84,74,81,81,82,84,8.4e+07,"CDM, CM"
"47","H. Barnes","Attacker",44,89,234742,"Harvey Lewis Barnes",80,"Newcastle United",85,77,75,81,43,69,2.8e+07,"LW, LM"
"48","T. Livramento","Defender",37.2,277,262118,"Valentino Livramento",74,"Newcastle United",78,47,65,73,71,62,9e+06,"RB"
"49","I. Sangare","Midfielder",35,69,235173,"Ibrahim Sangaré",81,"Nottingham Forest",66,66,74,75,81,86,3.1e+07,"CDM, CM"
"50","A. Elanga","Attacker",17.5,311,257470,"Anthony David Junior Elanga",73,"Nottingham Forest",87,66,64,73,38,58,7e+06,"RW, ST, LW"
"51","C. Wood","Attacker",17,264,192123,"Christopher Grant Wood",75,"Nottingham Forest",54,76,60,69,40,78,4800000,"ST"
"52","A. Omobamidele","Defender",12.85,373,261647,"Andrew Abiola Omobamidele",70,"Nottingham Forest",73,27,49,57,70,75,3300000,"CB"
"53","Murillo","Defender",12,397,278016,"Murillo Costa dos Santos",68,"Nottingham Forest",69,33,55,58,67,70,2700000,"CB"
"54","N. Dominguez","Midfielder",10,171,237819,"Nicolás Martín Domínguez",77,"Nottingham Forest",75,66,71,76,72,77,1.5e+07,"CDM, CM"
"55","C. Hudson-Odoi","Attacker",3.5,248,240740,"Callum Hudson-Odoi",75,"Nottingham Forest",78,67,73,79,48,59,8500000,"LW, RW"
"56","C. Archer","Attacker",21.55,316,258930,"Cameron Archer",73,"Sheffield United",78,71,58,74,25,68,4900000,"ST"
"57","G. Hamer","Midfielder",17.3,256,234741,"Gustavo Hamer",75,"Sheffield United",69,70,76,72,73,77,7e+06,"CM, CDM, CAM"
"58","V. Souza","Midfielder",12.5,243,262929,"Vinicius de Souza Costa",75,"Sheffield United",66,49,61,67,76,81,10500000,"CDM, CM, CB"
"59","A. Trusty","Defender",5.8,313,235755,"Auston Levi-Jesaiah Trusty",73,"Sheffield United",79,47,56,62,71,82,4400000,"CB, LB"
"60","B. Traore","Attacker",4.6,267,207948,"Bertrand Isidore Traoré",75,"Aston Villa",76,72,72,81,45,62,6e+06,"RM, RW"
"61","B. Traore","Attacker",4.6,398,252975,"Boubacar Traoré",68,"Wolverhampton Wanderers",64,49,63,68,63,70,2600000,"CDM, CM"
"62","B. Traore","Attacker",4.6,406,260651,"Bénie Adama Traoré",67,"Sheffield United",86,65,54,73,32,63,2500000,"ST, RW"
"63","A. Slimane","Midfielder",2.7,412,255210,"Anis Ben Slimane",67,"Sheffield United",66,59,62,69,58,77,2300000,"CM, CAM"
"64","B. Johnson","Attacker",55,208,251421,"Brennan Price Johnson",76,"Tottenham Hotspur",89,74,67,77,41,59,1.5e+07,"RW, ST"
"65","B. Johnson","Attacker",55,284,241842,"Benjamin Johnson",74,"West Ham United",75,38,62,67,73,71,6e+06,"RB, LB, CB"
"66","J. Maddison","Midfielder",46.3,33,220697,"James Maddison",84,"Tottenham Hotspur",71,81,86,86,54,63,49500000,"CAM, RM, CM"
"67","P. Porro","Defender",40,71,243576,"Pedro Antonio Porro Sauceda",81,"Tottenham Hotspur",82,73,77,81,74,77,32500000,"RB, RWB"
"68","D. Kulusevski","Attacker",30,65,247394,"Dejan Kulusevski",81,"Tottenham Hotspur",76,77,80,84,56,75,3.7e+07,"RW"
"69","A. Veliz","Attacker",15,237,269176,"Alejo Véliz",75,"Tottenham Hotspur",71,74,54,70,25,73,1.2e+07,"ST"
"70","A. Phillips","Defender",2.3,452,264731,"Ashley Phillips",60,"Tottenham Hotspur",67,26,49,44,60,65,750000,"CB"
"71","M. Kudus","Midfielder",43,101,245155,"Mohammed Kudus",79,"West Ham United",90,74,71,84,59,75,35500000,"RW, CAM"
"72","E. Alvarez","Midfielder",38,70,235844,"Edson Omar Álvarez Velázquez",81,"West Ham United",68,58,68,70,82,87,3.1e+07,"CDM, CB"
"73","J. Ward-Prowse","Midfielder",34.8,158,205569,"James Ward-Prowse",78,"West Ham United",57,72,85,74,64,71,1.4e+07,"CM"
"74","K. Mavropanos","Defender",20,145,242000,"Konstantinos Mavropanos",78,"West Ham United",79,56,54,59,78,82,17500000,"CB, RB"
"75","M. Cunha","Attacker",50,142,240243,"Matheus Santos Carneiro Da Cunha",78,"Wolverhampton Wanderers",80,78,75,82,40,73,21500000,"ST, CAM, LM"
"76","J. Bellegarde","Midfielder",15,251,235456,"Jean-Ricner Bellegarde",75,"Wolverhampton Wanderers",77,62,72,77,70,72,8e+06,"CM, CDM"
"77","S. Bueno","Defender",12,176,237658,"Santiago Ignacio Bueno Sciutto",77,"Wolverhampton Wanderers",50,31,55,56,78,78,14500000,"CB"
"78","B. Traore","Midfielder",11,267,207948,"Bertrand Isidore Traoré",75,"Aston Villa",76,72,72,81,45,62,6e+06,"RM, RW"
"79","B. Traore","Midfielder",11,398,252975,"Boubacar Traoré",68,"Wolverhampton Wanderers",64,49,63,68,63,70,2600000,"CDM, CM"
"80","B. Traore","Midfielder",11,406,260651,"Bénie Adama Traoré",67,"Sheffield United",86,65,54,73,32,63,2500000,"ST, RW"
"81","E. Gonzalez","Attacker",6,433,274377,"Enso David Gonzalez Medina",62,"Wolverhampton Wanderers",70,48,58,68,35,46,1100000,"RM, RW"
